t_and_o_map  europe continent europa_regina 
great_arctic_cyclone_of_2012  european_windstorm extratropical_cyclone low-pressure_area weather_system depression_(weather) bomb_(meteorology) arctic_ocean low_pressure_system extratropical_transition_technique nor%27easter sudestada polar_low australian_east_coast_low weather_bomb alberta_clipper colorado_low gulf_low 
livestock  storm thunderstorm hail rocky_mountains europe kazakhstan malta spain plain flowering_plant fauna_of_europe wolf bear eurasian_wolf mollusc whales 
al-andalus  arctic_ocean ocean europe madrid continent atlantic_ocean mediterranean_sea eurasia caspian_sea asia middle_ages americas africa oceania western_europe maghreb anatolia andorra portugal spain north_america carolingian_renaissance islamic_world islam iberia alcuin history_of_europe balkans near_east mediterranean_coast crete mediterranean_basin early_middle_ages slavs renaissance charlemagne asia_minor caucasus emirate_of_sicily history_of_islam_in_southern_italy iberian_peninsula asturias umayyad_caliphate umayyad frankish_empire charles_martel battle_of_tours serbian_empire high_middle_ages renaissance_of_the_12th_century inquisition reconquista granada slavic_peoples france_in_the_middle_ages new_world italian_peninsula southern_europe balkan mediterranean prague 
whitefish_bay  extratropical_cyclone ss_edmund_fitzgerald extratropical_transition_technique 
battles_of_narvik  europe norway phoney_war allies_of_world_war_ii 
lake_superior  extratropical_cyclone ss_edmund_fitzgerald whitefish_bay extratropical_transition_technique 
suzdal  europe moscow russian_federation russia muscovy golden_horde 
european_iron_age  europe 
glasnost  europe caucasus_mountains caspian_sea russian_federation modern_era soviet_union cold_war iron_curtain nato warsaw_pact revolutions_of_1989 berlin_wall winston_churchill kazakhstan azerbaijan latvia lithuania moldova russia ukraine armenia history_of_europe modern_history russian_revolution russian_civil_war stalin gulag great_purge nkvd population_transfer_in_the_soviet_union yalta_conference joseph_stalin yerevan transnistria 
rodinia  europe continent eurasia borders_of_the_continents asia americas africa oceania boundaries_between_continents north_america new_world baltica supercontinent columbia_(supercontinent) laurentia euramerica gondwana pangea laurasia avalonia 
german_empire  world_war_i crimean_war europe renaissance_exploration modern_era age_of_discovery oceania world_war belarus federation phoenicia austria estonia finland germany hungary italy lithuania luxembourg poland serbia history_of_europe phoenicians achaemenid_empire roman_empire augustus pax_romana germanic_peoples carolingian_empire huns byzantine_empire serbs sasanids umayyad_caliphate umayyad frankish_empire holy_roman_empire serbian_empire ottoman_empire golden_horde polish%e2%80%93lithuanian_commonwealth modern_history napoleonic_empire nation_state napoleonic_code great_power prussia austrian_empire revolutions_of_1848 austro-hungarian_empire ausgleich nation-states eastern_question russian_empire balkan_wars congress_of_berlin interwar_period world_war_ii wilhelm_ii franz_joseph_i_of_austria archduke_franz_ferdinand_of_austria entente_powers central_powers austria-hungary german_empire treaty_of_versailles russian_civil_war the_great_war weimar_republic kingdom_of_italy ataturk adolf_hitler nazi_germany saarland anschluss hamburg second_polish_republic danzig molotov%e2%80%93ribbentrop_pact empire_of_japan british_empire berlin battle_of_berlin the_holocaust decolonisation republic constitutional_monarchy tallinn tbilisi riga vilnius bucharest heligoland 
yugoslav_nationalism  world_war_i europe the_great_war 
maritime_republics  europe middle_ages renaissance_exploration age_of_discovery vatican_city italy adriatic_sea roman_era history_of_europe ancient_rome roman_republic ostrogoths history_of_islam_in_southern_italy maritime_republics crusades mongol_invasion_of_europe quattrocento cinquecento polish%e2%80%93lithuanian_commonwealth italian_unification russian_empire habsburg_empire interwar_period history_of_the_european_union kingdom_of_italy british_empire alps italian_peninsula apennine_mountains akrotiri_and_dhekelia 
chalcolithic  europe russian_federation phoenicia croatia russia turkey cyprus iberia lascaux homo_erectus_georgicus neanderthal_man neandertal stonehenge vin%c4%8da_culture bronze_age linear_pottery_culture causewayed_enclosure burial_mound megalithic_tomb corded_ware megalithic minoan_civilization phoenicians iberian_peninsula jerusalem turkish_republic neolithic skopje 
monarchies_in_europe  europe vatican_city andorra belgium denmark liechtenstein luxembourg monaco netherlands spain monarchy ottoman_empire royal_family polish%e2%80%93lithuanian_commonwealth christopher_columbus austro-hungarian_empire russian_empire austria-hungary german_empire kingdom_of_italy 
communist  europe russian_federation russia baltic_sea greeks roman_catholic_church persecution_of_jews nkvd kingdom_of_italy allies_of_world_war_ii regions_of_europe luxembourg_(city) 
franklin_d._roosevelt  united_states united_states_dollar north_carolina europe western_europe soviet_union cold_war iron_curtain winston_churchill poland near_east huns great_power great_depression interwar_period world_war_ii stalin adolf_hitler munich_agreement european_theatre_of_world_war_ii attack_on_pearl_harbor british_empire allies_of_world_war_ii yalta_conference joseph_stalin normandy_landings battle_of_berlin decolonisation 
arctic_ocean  extratropical_cyclone middle_latitudes latitude equator 30th_parallel_south 70th_parallel_south ocean rocky_mountains extratropical_transition_technique europe continent atlantic_ocean mediterranean_sea eurasia borders_of_the_continents ural_mountains caspian_sea black_sea asia americas africa oceania western_europe maghreb anatolia list_of_transcontinental_countries boundaries_between_continents transcontinental_country iceland svalbard greenland adriatic_sea baltic_sea aegean_sea barents_sea bay_of_biscay ligurian_sea north_sea norwegian_sea north_america sea_of_azov balkans near_east mediterranean_coast mediterranean_basin slavs asia_minor caucasus slavic_peoples new_world operation_barbarossa italian_peninsula tundra laurentia pangea southern_europe fauna_of_europe quaternary_glaciation woolly_mammoth balkan polar_bear dwarf_elephant mediterranean 
sarmatian_craton  europe geology_of_europe east_european_craton columbia_(supercontinent) avalonia 
iron_curtain  europe european_union western_europe soviet_union cold_war iron_curtain nato warsaw_pact revolutions_of_1989 berlin_wall winston_churchill enlargement_of_the_european_union austria germany slovenia adriatic_sea history_of_europe nobility history_of_the_european_union stalin nkvd sudetenland european_theatre_of_world_war_ii empire_of_japan yalta_conference joseph_stalin schuman_declaration european_coal_and_steel_community glasnost southern_europe central_and_eastern_europe regions_of_europe prague 
czechoslovakia  world_war_i europe russian_federation soviet_union cold_war iron_curtain warsaw_pact revolutions_of_1989 berlin_wall council_of_europe european_integration federation albania andorra austria belgium bosnia_and_herzegovina croatia czech_republic denmark estonia france germany greece hungary republic_of_ireland italy latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain switzerland turkey armenia history_of_europe slavs jerusalem slavic_peoples prussia austro-hungarian_empire habsburg_empire interwar_period world_war_ii austria-hungary communist treaty_of_versailles russian_civil_war gulag the_great_war weimar_republic fascism kingdom_of_italy turkish_republic adolf_hitler anschluss munich_agreement sudetenland second_polish_republic molotov%e2%80%93ribbentrop_pact european_theatre_of_world_war_ii battle_of_britain allies_of_world_war_ii normandy_landings battle_of_berlin world_war_ii_casualties refugee decolonisation republic visegr%c3%a1d_group prague bratislava 
plato  europe european_union classical_antiquity social_construct ancient_greece western_civilization ancient_history winston_churchill greek_mythology ancient_greek athena hera greece aegean_sea anaximander herodotus pillars_of_hercules posidonius ptolemy history_of_europe minoan_civilization crete parthenon athens democracy rationalism polis athenian_democracy philosophy humanism aristotle socrates thucydides homer sophocles euripides hippocrates galen pythagoras euclid archimedes achaemenid_empire politics sasanids scientific_revolution school_of_athens music copernicus galileo isaac_newton communist mussolini fascism republic language 
bear  europe madrid albania republic_of_macedonia norway vikings taiga fauna_of_europe wolf carnivore omnivore european_brown_bear polar_bear european_bison bia%c5%82owie%c5%bca_forest mollusc whales warsaw 
bosnia_and_herzegovina  world_war_i europe moscow madrid mediterranean_sea russian_federation demographics_of_europe nato revolutions_of_1989 council_of_europe belarus kazakhstan vatican_city european_integration federation enlargement_of_the_european_union euro albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france gibraltar germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland adriatic_sea eastern_orthodox islamic_world history_of_europe lascaux vin%c4%8da_culture balkans near_east danube mediterranean_coast mediterranean_basin slavs croats serbs south_slavs serbian_empire ottoman_empire slavic_peoples habsburg_dynasty nation_state austro-hungarian_empire nation-states habsburg_empire serbian_revolution balkan_wars congress_of_berlin interwar_period history_of_the_european_union franz_joseph_i_of_austria archduke_franz_ferdinand_of_austria yugoslav_nationalism entente_powers austria-hungary german_empire the_great_war kingdom_of_italy turkish_republic saarland czechoslovakia refugee flag_of_europe geography_of_europe southern_europe neolithic wolf european_brown_bear balkan eurasian_wolf central_and_eastern_europe bia%c5%82owie%c5%bca_forest mediterranean politics_of_europe regions_of_europe republic area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density tirana vienna baku sarajevo zagreb budapest skopje podgorica oslo belgrade ljubljana stockholm ankara northern_cyprus akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
parliamentary_democracy  canada europe oceania belgium bulgaria estonia republic_of_ireland slovenia spain sweden armenia historiography early_modern_period revolutions_of_1848 ireland constitutional_monarchy jersey 
inch_of_mercury  extratropical_cyclone tornado hurricane_wilma hurricane_sandy extratropical_transition_technique siberian_high mediterranean_tropical-like_cyclone 
colorado_low  european_windstorm extratropical_cyclone low-pressure_area weather_system depression_(weather) bomb_(meteorology) low_pressure_system extratropical_transition_technique nor%27easter sudestada australian_east_coast_low weather_bomb alberta_clipper gulf_low panhandle_hook 
pacific_northwest_windstorm  european_windstorm extratropical_cyclone low-pressure_area weather_system depression_(weather) bomb_(meteorology) low_pressure_system extratropical_transition_technique nor%27easter sudestada australian_east_coast_low weather_bomb sting_jet alberta_clipper colorado_low gulf_low 
tev_wahine  extratropical_cyclone wellington extratropical_transition_technique 
roman_empire  europe european_union istanbul paris london madrid mediterranean_sea classical_antiquity asia russian_federation world_population ancient_greece western_civilization migration_period ancient_history middle_ages africa western_europe vatican_city european_integration federation greek_mythology phoenicia maghreb anatolia franks albania andorra austria bosnia_and_herzegovina bulgaria croatia france gibraltar georgia_(country) greece hungary italy san_marino kosovo liechtenstein republic_of_macedonia malta moldova netherlands poland portugal romania russia serbia slovakia slovenia spain switzerland turkey armenia cyprus adriatic_sea baltic_sea nile strabo roman_era ptolemy carolingian_renaissance eastern_orthodox islamic_world christendom iberia muscovy sea_of_azov history_of_europe balkans danube rhine mediterranean_coast crete greeks phoenicians mediterranean_basin ancient_rome polis philosophy aristotle historiography galen achaemenid_empire roman_empire roman_law latin roman_engineering roman_architecture roman_republic augustus pax_romana germanic_peoples picts christianity constantinople late_antiquity early_middle_ages carolingian_empire decline_of_the_roman_empire ostrogoths visigoths goths vandals huns saxons vikings renaissance byzantine_empire code_of_justinian hagia_sophia charlemagne holy_roman_emperor croats sasanids asia_minor caucasus emirate_of_sicily history_of_islam_in_southern_italy iberian_peninsula asturias umayyad_caliphate umayyad frankish_empire charles_martel battle_of_tours holy_roman_empire serbian_empire kiev high_middle_ages medieval_demography maritime_republics monarchy roman_catholic_church papacy crusades jerusalem fourth_crusade fall_of_constantinople ottoman_empire mongol_invasion_of_europe golden_horde france_in_the_middle_ages pandemic florence latin_language music pope rome quattrocento cinquecento polish%e2%80%93lithuanian_commonwealth orient england napoleonic_empire austrian_empire austro-hungarian_empire italian_unification russian_empire habsburg_empire interwar_period history_of_the_european_union austria-hungary german_empire mussolini kingdom_of_italy turkish_republic nazi_germany saarland rhineland british_empire superpower alps carpathian_mountains italian_peninsula southern_europe apennine_mountains plantation balkan mediterranean regions_of_europe republic tirana vienna baku brussels sarajevo zagreb copenhagen tbilisi budapest luxembourg_(city) skopje podgorica belgrade bratislava ankara abkhazia pristina transnistria akrotiri_and_dhekelia 
kazakhstan  europe demonym moscow eurasia borders_of_the_continents ural_mountains ural_river caspian_sea asia russian_federation demographics_of_europe ancient_history soviet_union nato revolutions_of_1989 council_of_europe belarus vatican_city european_integration list_of_transcontinental_countries boundaries_between_continents transcontinental_country albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland eastern_orthodox islamic_world islam emba_river bronze_age balkans burial_mound greeks slavs bulgars pechenegs cumans jerusalem ottoman_empire turkic_peoples slavic_peoples tatars golden_horde crimean_khanate kazakh_khanate soviet_famine_of_1932-1933 kulak gulag turkish_republic hamburg danzig british_empire berlin decolonisation geography_of_europe taiga temperate_steppe grassland steppe wolf balkan central_and_eastern_europe politics_of_europe regions_of_europe area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density capital_city baku zagreb nicosia prague tbilisi astana riga vilnius warsaw belgrade ankara capital_(political) abkhazia sukhumi northern_cyprus south_ossetia transnistria akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
factory_acts  europe industrial_revolution child_labour 
cold_war  arctic_ocean united_states great_plains rocky_mountains united_states_dollar crimean_war new_jersey europe caucasus_mountains caspian_sea black_sea russian_federation western_civilization modern_era africa western_europe world_war soviet_union iron_curtain nato warsaw_pact revolutions_of_1989 berlin_wall winston_churchill vatican_city enlargement_of_the_european_union albania austria bulgaria finland france germany greece iceland republic_of_ireland italy kosovo liechtenstein malta netherlands norway poland romania russia spain sweden switzerland turkey ukraine united_kingdom greenland adriatic_sea barents_sea christendom history_of_europe balkans rhine democracy maritime_republics roman_catholic_church crusades mongol_invasion_of_europe peace_of_westphalia polish%e2%80%93lithuanian_commonwealth kazakh_khanate modern_history nation_state great_power nation-states russian_empire habsburg_empire great_depression interwar_period world_war_ii history_of_the_european_union russian_revolution communist treaty_of_versailles russian_civil_war stalin gulag great_purge nkvd population_transfer_in_the_soviet_union fascism kingdom_of_italy turkish_republic adolf_hitler nazi_germany munich_agreement appeasement molotov%e2%80%93ribbentrop_pact invasion_of_poland european_theatre_of_world_war_ii battles_of_narvik phoney_war battle_of_france battle_of_britain operation_barbarossa empire_of_japan attack_on_pearl_harbor british_empire allies_of_world_war_ii yalta_conference joseph_stalin battle_of_stalingrad battle_of_kursk battle_of_prokhorovka normandy_landings berlin battle_of_berlin world_war_ii_casualties the_holocaust schuman_declaration european_coal_and_steel_community superpower nuclear_proliferation decolonisation glasnost european_community deforestation balkan polar_bear politics_of_europe regions_of_europe visegr%c3%a1d_group capital_city vienna helsinki riga chi%c8%99in%c4%83u capital_(political) british_overseas_territories akrotiri_and_dhekelia 
budapest  world_war_i europe european_union demonym istanbul moscow paris london madrid demographics_of_europe european_climate western_europe iron_curtain council_of_europe vatican_city gibraltar hungary monaco serbia slovakia danube athens magyars croats kiev parliament beggars florence rome austro-hungarian_empire ausgleich franz_joseph_i_of_austria austria-hungary the_great_war second_polish_republic berlin geography_of_europe visegr%c3%a1d_group tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara abkhazia pristina stepanakert tskhinvali tiraspol 
medieval_demography  europe demographics_of_europe world_population migration_period middle_ages renaissance_humanism history_of_europe early_middle_ages frankish_empire high_middle_ages late_middle_ages crusades reconquista france_in_the_middle_ages pandemic england 
depression_(weather)  extratropical_cyclone extratropical_transition_technique 
denmark  precipitation_(meteorology) pound_sterling flood europe european_union demonym paris london madrid russian_federation demographics_of_europe renaissance_exploration age_of_discovery americas western_europe nato council_of_europe belarus kazakhstan vatican_city european_integration confederation enlargement_of_the_european_union euro schengen_area list_of_transcontinental_countries transcontinental_country albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france gibraltar germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway svalbard poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom faroe_islands armenia cyprus greenland baltic_sea north_sea norwegian_sea north_america europa_regina balkans linear_pottery_culture burial_mound corded_ware athens germanic_peoples early_middle_ages carolingian_empire vandals slavs vikings magyars croats kiev late_middle_ages monarchy parliament slavic_peoples list_of_epidemics protestant_reformation rome western_schism protestant vasco_da_gama napoleonic_wars congress_of_vienna prussia revolutions_of_1848 russian_empire great_britain world_war_ii archduke_franz_ferdinand_of_austria german_empire turkish_republic czechoslovakia hamburg danzig european_theatre_of_world_war_ii battle_of_britain british_empire allies_of_world_war_ii normandy_landings berlin world_war_ii_casualties decolonisation european_community european_parliament european_court_of_justice geography_of_europe beech grassland balkan polar_bear eurasian_wolf politics_of_europe regions_of_europe constitutional_monarchy eurozone nordic_council area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density vienna brussels sofia zagreb nicosia prague copenhagen tallinn budapest reykjav%c3%adk dublin riga vilnius luxembourg_(city) valletta amsterdam oslo warsaw lisbon bucharest bratislava ljubljana stockholm northern_cyprus crown_dependencies british_overseas_territories heligoland akrotiri_and_dhekelia %c3%85land_islands %c3%85land mariehamn t%c3%b3rshavn 
great_britain  european_windstorm fujita_scale pound_sterling europe demonym continent eurasia european_climate ancient_history modern_era industrial_revolution kingdom_of_great_britain channel_islands denmark republic_of_ireland isle_of_man norway united_kingdom north_sea british_english christendom bronze_age historiography latin augustus germanic_peoples scottish_people early_middle_ages huns angles saxons early_modern_period latin_language rome england modern_history revolutions_of_1848 german_empire empire_of_japan allies_of_world_war_ii decolonisation brexit geography_of_europe ireland laurasia avalonia beech european_bison yerevan sarajevo crown_dependencies british_overseas_territories countries_of_the_united_kingdom jersey 
nation_state  europe demonym middle_ages federation czech_republic greece slovenia turkey history_of_europe centralized_government roman_republic germanic_peoples croats serbs late_middle_ages renaissance_of_the_12th_century early_modern_period quattrocento thirty_years_war napoleon centralised_government german_empire ataturk turkish_republic parliamentary_democracy language list_of_states_with_limited_recognition 
humanism  europe ancient_greece western_civilization renaissance_humanism renaissance_art renaissance_science modern_era italy spain alcuin history_of_europe democracy rationalism philosophy renaissance early_modern_period protestant_reformation michelangelo history_of_science_in_the_renaissance medici protestant isaac_newton modern_history age_of_enlightenment trade_union mussolini secularism berlin 
asturias  montevideo europe demonym madrid republic_of_ireland isle_of_man spain bay_of_biscay iberia history_of_europe augustus scottish_people late_antiquity early_middle_ages iberian_peninsula napoleonic_wars ireland wolf canary_islands 
the_decameron  europe italy late_middle_ages pandemic florence rome 
croatia  thunderstorm hail europe european_union demonym moscow paris london madrid mediterranean_sea russian_federation demographics_of_europe iron_curtain nato revolutions_of_1989 council_of_europe belarus kazakhstan vatican_city european_integration enlargement_of_the_european_union schengen_area ancient_greek albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria czech_republic denmark estonia finland france gibraltar germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland adriatic_sea history_of_europe lascaux balkans danube mediterranean_coast mediterranean_basin athens city_states latin huns slavs magyars charlemagne croats serbs history_of_islam_in_southern_italy frankish_empire south_slavs mongol_invasion_of_europe slavic_peoples pandemic florence latin_language rome habsburg_dynasty nation_state austrian_empire austro-hungarian_empire nation-states habsburg_empire serbian_revolution interwar_period archduke_franz_ferdinand_of_austria yugoslav_nationalism austria-hungary gulag kingdom_of_italy turkish_republic czechoslovakia operation_barbarossa berlin european_parliament geography_of_europe southern_europe oak olive cupressus_sempervirens wolf european_brown_bear balkan eurasian_wolf central_and_eastern_europe mediterranean regions_of_europe eurozone area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density tirana vienna brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn budapest dublin astana riga vilnius luxembourg_(city) skopje valletta podgorica amsterdam warsaw lisbon bucharest belgrade bratislava ljubljana stockholm ankara northern_cyprus akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
feudalism  europe russian_federation western_civilization migration_period middle_ages renaissance_humanism modern_era industrial_revolution vatican_city franks france hungary republic_of_ireland italy netherlands norway poland russia serbia spain sweden united_kingdom christendom muscovy history_of_europe democracy historiography city_states roman_empire germanic_peoples scottish_people early_middle_ages saxons renaissance code_of_justinian fealty croats serbs frankish_empire charles_martel battle_of_tours holy_roman_empire high_middle_ages late_middle_ages medieval_demography maritime_republics nobility magna_carta crusades mongol_invasion_of_europe france_in_the_middle_ages early_modern_period quattrocento thirty_years_war polish%e2%80%93lithuanian_commonwealth modern_history napoleon napoleonic_code revolutions_of_1848 eastern_question russian_empire habsburg_empire serbian_revolution interwar_period history_of_the_european_union british_empire parliamentary_democracy republic capital_city vilnius capital_(political) akrotiri_and_dhekelia 
switzerland  europe european_union paris mediterranean_sea russian_federation demographics_of_europe western_europe cold_war iron_curtain nato council_of_europe belarus kazakhstan vatican_city european_integration confederation federation enlargement_of_the_european_union schengen_area franks albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain sweden turkey ukraine united_kingdom armenia cyprus greenland adriatic_sea lascaux bronze_age balkans danube rhine mediterranean_coast corded_ware greeks democracy latin germanic_peoples christianity renaissance charlemagne croats serbs late_middle_ages parliament roman_catholic_church florence latin_language rome martin_luther protestant habsburg_dynasty napoleon napoleonic_wars napoleonic_empire nation_state congress_of_vienna austrian_empire revolutions_of_1848 austro-hungarian_empire nation-states habsburg_empire greek_war_of_independence trade_union austria-hungary german_empire russian_revolution russian_civil_war kingdom_of_italy turkish_republic czechoslovakia hamburg battle_of_france battle_of_kursk world_war_ii_casualties euratom geography_of_europe alps balkan eurasian_wolf mediterranean regions_of_europe republic eurozone area_and_population_of_european_countries flag list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density capital_city vienna sarajevo sofia vaduz luxembourg_(city) oslo bern list_of_states_with_limited_recognition capital_(political) northern_cyprus akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
blocking_anticyclone  extratropical_cyclone extratropical_transition_technique 
appeasement  europe russian_federation bosnia_and_herzegovina russia history_of_europe rhine balance_of_power_(international_relations) interwar_period world_war_ii treaty_of_versailles munich_agreement czechoslovakia molotov%e2%80%93ribbentrop_pact phoney_war allies_of_world_war_ii 
ridge_(meteorology)  extratropical_cyclone high-pressure_area surface_weather_analysis shortwave_(meteorology) trough_(meteorology) blocking_anticyclone hurricane_wilma hurricane_sandy extratropical_transition_technique 
bulgaria  crimean_war europe european_union demonym moscow paris london madrid mediterranean_sea black_sea russian_federation demographics_of_europe western_europe cold_war nato warsaw_pact council_of_europe belarus kazakhstan vatican_city european_integration enlargement_of_the_european_union euro schengen_area albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france gibraltar germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland eastern_orthodox christendom europa_regina history_of_europe lascaux vin%c4%8da_culture bronze_age balkans near_east danube mediterranean_coast greeks athens polis achaemenid_empire constantinople huns slavs pechenegs cumans magyars south_slavs serbian_empire crusades battle_of_manzikert fall_of_constantinople ottoman_empire turkic_peoples slavic_peoples tatars golden_horde pandemic florence rome polish%e2%80%93lithuanian_commonwealth siege_of_vienna great_power austro-hungarian_empire eastern_question russian_empire serbian_revolution greek_war_of_independence balkan_wars congress_of_berlin interwar_period world_war_ii history_of_the_european_union franz_joseph_i_of_austria yugoslav_nationalism central_powers austria-hungary german_empire communist kingdom_of_italy turkish_republic adolf_hitler saarland czechoslovakia allies_of_world_war_ii berlin world_war_ii_casualties decolonisation european_parliament geography_of_europe plain southern_europe oak grassland neolithic european_brown_bear balkan eurasian_wolf central_and_eastern_europe european_bison mediterranean politics_of_europe regions_of_europe republic eurozone area_and_population_of_european_countries flag list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density tirana yerevan vienna brussels sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest dublin riga vilnius luxembourg_(city) skopje valletta amsterdam warsaw lisbon bucharest bratislava ljubljana stockholm ankara abkhazia pristina northern_cyprus akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
biogeography  europe european_union physical_geography human_geography adriatic_sea mediterranean_basin biome tundra taiga temperate_broadleaf_forest mediterranean_forest gondwana apennine_mountains temperate_broadleaf_and_mixed_forest grassland biogeography predator carnivore omnivore 
gulf_stream  extratropical_cyclone baroclinity bomb_(meteorology) gulf_stream westerlies sea_surface_temperature coriolis_effect convection ocean wind north_carolina hurricane_wilma extratropical_transition_technique nor%27easter centers_of_action atlantic_hurricane weather_bomb europe atlantic_ocean european_climate renaissance_exploration age_of_discovery finland germany iceland republic_of_ireland norway sweden united_kingdom faroe_islands bay_of_biscay england prevailing_westerlies reykjav%c3%adk canary_islands 
albania  europe demonym moscow mediterranean_sea russian_federation demographics_of_europe cold_war nato warsaw_pact council_of_europe belarus kazakhstan vatican_city european_integration enlargement_of_the_european_union albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france gibraltar germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland adriatic_sea eastern_orthodox islamic_world balkans near_east danube mediterranean_coast burial_mound greeks mediterranean_basin croats serbs history_of_islam_in_southern_italy south_slavs ottoman_empire florence rome nation_state nation-states greek_war_of_independence balkan_wars congress_of_berlin interwar_period franz_joseph_i_of_austria fascism kingdom_of_italy turkish_republic czechoslovakia european_theatre_of_world_war_ii world_war_ii_casualties decolonisation geography_of_europe southern_europe forest cupressus_sempervirens neolithic wolf european_brown_bear balkan eurasian_wolf central_and_eastern_europe mediterranean regions_of_europe republic area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density tirana sarajevo zagreb skopje podgorica bucharest ankara pristina northern_cyprus akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
cretan_dwarf_hippopotamus  europe 
battle_of_britain  europe winston_churchill germany poland united_kingdom history_of_europe world_war_ii fascism adolf_hitler nazi_germany molotov%e2%80%93ribbentrop_pact invasion_of_poland european_theatre_of_world_war_ii battles_of_narvik phoney_war battle_of_france operation_barbarossa empire_of_japan attack_on_pearl_harbor allies_of_world_war_ii battle_of_stalingrad battle_of_kursk battle_of_prokhorovka normandy_landings battle_of_berlin world_war_ii_casualties the_holocaust jersey 
iron_age_italy  europe ancient_greece 
